ID,区域名称,上级区域,是否群组
"""中国""","中国","All Territories",1
"""北京市""","北京市","中国",1
"""天津市""","天津市","中国",1
"""山西省""","山西省","中国",1
"""河北省""","河北省","中国",1
"""内蒙古自治区""","内蒙古自治区","中国",1
"""辽宁省""","辽宁省","中国",1
"""吉林省""","吉林省","中国",1
"""黑龙江省""","黑龙江省","中国",1
"""上海市""","上海市","中国",1
"""江苏省""","江苏省","中国",1
"""浙江省""","浙江省","中国",1
"""安徽省""","安徽省","中国",1
"""福建省""","福建省","中国",1
"""江西省""","江西省","中国",1
"""山东省""","山东省","中国",1
"""河南省""","河南省","中国",1
"""湖北省""","湖北省","中国",1
"""湖南省""","湖南省","中国",1
"""广东省""","广东省","中国",1
"""广西壮族自治区""","广西壮族自治区","中国",1
"""海南省""","海南省","中国",1
"""重庆市""","重庆市","中国",1
"""四川省""","四川省","中国",1
"""贵州省""","贵州省","中国",1
"""云南省""","云南省","中国",1
"""西藏自治区""","西藏自治区","中国",1
"""陕西省""","陕西省","中国",1
"""甘肃省""","甘肃省","中国",1
"""青海省""","青海省","中国",1
"""宁夏回族自治区""","宁夏回族自治区","中国",1
"""新疆维吾尔自治区""","新疆维吾尔自治区","中国",1
"""台湾省""","台湾省","中国",1
"""香港特别行政区""","香港特别行政区","中国",1
"""澳门特别行政区""","澳门特别行政区","中国",1
"""石家庄市""","石家庄市","河北省",0
"""唐山市""","唐山市","河北省",0
"""秦皇岛市""","秦皇岛市","河北省",0
"""邯郸市""","邯郸市","河北省",0
"""邢台市""","邢台市","河北省",0
"""保定市""","保定市","河北省",0
"""张家口市""","张家口市","河北省",0
"""承德市""","承德市","河北省",0
"""沧州市""","沧州市","河北省",0
"""廊坊市""","廊坊市","河北省",0
"""衡水市""","衡水市","河北省",0
"""太原市""","太原市","山西省",0
"""大同市""","大同市","山西省",0
"""阳泉市""","阳泉市","山西省",0
"""长治市""","长治市","山西省",0
"""晋城市""","晋城市","山西省",0
"""朔州市""","朔州市","山西省",0
"""晋中市""","晋中市","山西省",0
"""运城市""","运城市","山西省",0
"""忻州市""","忻州市","山西省",0
"""临汾市""","临汾市","山西省",0
"""吕梁市""","吕梁市","山西省",0
"""呼和浩特市""","呼和浩特市","内蒙古自治区",0
"""包头市""","包头市","内蒙古自治区",0
"""乌海市""","乌海市","内蒙古自治区",0
"""赤峰市""","赤峰市","内蒙古自治区",0
"""通辽市""","通辽市","内蒙古自治区",0
"""鄂尔多斯市""","鄂尔多斯市","内蒙古自治区",0
"""呼伦贝尔市""","呼伦贝尔市","内蒙古自治区",0
"""巴彦淖尔市""","巴彦淖尔市","内蒙古自治区",0
"""乌兰察布市""","乌兰察布市","内蒙古自治区",0
"""兴安盟""","兴安盟","内蒙古自治区",0
"""锡林郭勒盟""","锡林郭勒盟","内蒙古自治区",0
"""阿拉善盟""","阿拉善盟","内蒙古自治区",0
"""沈阳市""","沈阳市","辽宁省",0
"""大连市""","大连市","辽宁省",0
"""鞍山市""","鞍山市","辽宁省",0
"""抚顺市""","抚顺市","辽宁省",0
"""本溪市""","本溪市","辽宁省",0
"""丹东市""","丹东市","辽宁省",0
"""锦州市""","锦州市","辽宁省",0
"""营口市""","营口市","辽宁省",0
"""阜新市""","阜新市","辽宁省",0
"""辽阳市""","辽阳市","辽宁省",0
"""盘锦市""","盘锦市","辽宁省",0
"""铁岭市""","铁岭市","辽宁省",0
"""朝阳市""","朝阳市","辽宁省",0
"""葫芦岛市""","葫芦岛市","辽宁省",0
"""长春市""","长春市","吉林省",0
"""吉林市""","吉林市","吉林省",0
"""四平市""","四平市","吉林省",0
"""辽源市""","辽源市","吉林省",0
"""通化市""","通化市","吉林省",0
"""白山市""","白山市","吉林省",0
"""松原市""","松原市","吉林省",0
"""白城市""","白城市","吉林省",0
"""延边朝鲜族自治州""","延边朝鲜族自治州","吉林省",0
"""哈尔滨市""","哈尔滨市","黑龙江省",0
"""齐齐哈尔市""","齐齐哈尔市","黑龙江省",0
"""鸡西市""","鸡西市","黑龙江省",0
"""鹤岗市""","鹤岗市","黑龙江省",0
"""双鸭山市""","双鸭山市","黑龙江省",0
"""大庆市""","大庆市","黑龙江省",0
"""伊春市""","伊春市","黑龙江省",0
"""佳木斯市""","佳木斯市","黑龙江省",0
"""七台河市""","七台河市","黑龙江省",0
"""牡丹江市""","牡丹江市","黑龙江省",0
"""黑河市""","黑河市","黑龙江省",0
"""绥化市""","绥化市","黑龙江省",0
"""大兴安岭地区""","大兴安岭地区","黑龙江省",0
"""南京市""","南京市","江苏省",0
"""无锡市""","无锡市","江苏省",0
"""徐州市""","徐州市","江苏省",0
"""常州市""","常州市","江苏省",0
"""苏州市""","苏州市","江苏省",0
"""南通市""","南通市","江苏省",0
"""连云港市""","连云港市","江苏省",0
"""淮安市""","淮安市","江苏省",0
"""盐城市""","盐城市","江苏省",0
"""扬州市""","扬州市","江苏省",0
"""镇江市""","镇江市","江苏省",0
"""泰州市""","泰州市","江苏省",0
"""宿迁市""","宿迁市","江苏省",0
"""杭州市""","杭州市","浙江省",0
"""宁波市""","宁波市","浙江省",0
"""温州市""","温州市","浙江省",0
"""嘉兴市""","嘉兴市","浙江省",0
"""湖州市""","湖州市","浙江省",0
"""绍兴市""","绍兴市","浙江省",0
"""金华市""","金华市","浙江省",0
"""衢州市""","衢州市","浙江省",0
"""舟山市""","舟山市","浙江省",0
"""台州市""","台州市","浙江省",0
"""丽水市""","丽水市","浙江省",0
"""合肥市""","合肥市","安徽省",0
"""芜湖市""","芜湖市","安徽省",0
"""蚌埠市""","蚌埠市","安徽省",0
"""淮南市""","淮南市","安徽省",0
"""马鞍山市""","马鞍山市","安徽省",0
"""淮北市""","淮北市","安徽省",0
"""铜陵市""","铜陵市","安徽省",0
"""安庆市""","安庆市","安徽省",0
"""黄山市""","黄山市","安徽省",0
"""滁州市""","滁州市","安徽省",0
"""阜阳市""","阜阳市","安徽省",0
"""宿州市""","宿州市","安徽省",0
"""六安市""","六安市","安徽省",0
"""亳州市""","亳州市","安徽省",0
"""池州市""","池州市","安徽省",0
"""宣城市""","宣城市","安徽省",0
"""福州市""","福州市","福建省",0
"""厦门市""","厦门市","福建省",0
"""莆田市""","莆田市","福建省",0
"""三明市""","三明市","福建省",0
"""泉州市""","泉州市","福建省",0
"""漳州市""","漳州市","福建省",0
"""南平市""","南平市","福建省",0
"""龙岩市""","龙岩市","福建省",0
"""宁德市""","宁德市","福建省",0
"""南昌市""","南昌市","江西省",0
"""景德镇市""","景德镇市","江西省",0
"""萍乡市""","萍乡市","江西省",0
"""九江市""","九江市","江西省",0
"""新余市""","新余市","江西省",0
"""鹰潭市""","鹰潭市","江西省",0
"""赣州市""","赣州市","江西省",0
"""吉安市""","吉安市","江西省",0
"""宜春市""","宜春市","江西省",0
"""抚州市""","抚州市","江西省",0
"""上饶市""","上饶市","江西省",0
"""济南市""","济南市","山东省",0
"""青岛市""","青岛市","山东省",0
"""淄博市""","淄博市","山东省",0
"""枣庄市""","枣庄市","山东省",0
"""东营市""","东营市","山东省",0
"""烟台市""","烟台市","山东省",0
"""潍坊市""","潍坊市","山东省",0
"""济宁市""","济宁市","山东省",0
"""泰安市""","泰安市","山东省",0
"""威海市""","威海市","山东省",0
"""日照市""","日照市","山东省",0
"""临沂市""","临沂市","山东省",0
"""德州市""","德州市","山东省",0
"""聊城市""","聊城市","山东省",0
"""滨州市""","滨州市","山东省",0
"""菏泽市""","菏泽市","山东省",0
"""郑州市""","郑州市","河南省",0
"""开封市""","开封市","河南省",0
"""洛阳市""","洛阳市","河南省",0
"""平顶山市""","平顶山市","河南省",0
"""安阳市""","安阳市","河南省",0
"""鹤壁市""","鹤壁市","河南省",0
"""新乡市""","新乡市","河南省",0
"""焦作市""","焦作市","河南省",0
"""濮阳市""","濮阳市","河南省",0
"""许昌市""","许昌市","河南省",0
"""漯河市""","漯河市","河南省",0
"""三门峡市""","三门峡市","河南省",0
"""南阳市""","南阳市","河南省",0
"""商丘市""","商丘市","河南省",0
"""信阳市""","信阳市","河南省",0
"""周口市""","周口市","河南省",0
"""驻马店市""","驻马店市","河南省",0
"""济源市""","济源市","河南省",0
"""武汉市""","武汉市","湖北省",0
"""黄石市""","黄石市","湖北省",0
"""十堰市""","十堰市","湖北省",0
"""宜昌市""","宜昌市","湖北省",0
"""襄阳市""","襄阳市","湖北省",0
"""鄂州市""","鄂州市","湖北省",0
"""荆门市""","荆门市","湖北省",0
"""孝感市""","孝感市","湖北省",0
"""荆州市""","荆州市","湖北省",0
"""黄冈市""","黄冈市","湖北省",0
"""咸宁市""","咸宁市","湖北省",0
"""随州市""","随州市","湖北省",0
"""恩施土家族苗族自治州""","恩施土家族苗族自治州","湖北省",0
"""仙桃市""","仙桃市","湖北省",0
"""潜江市""","潜江市","湖北省",0
"""天门市""","天门市","湖北省",0
"""神农架林区""","神农架林区","湖北省",0
"""长沙市""","长沙市","湖南省",0
"""株洲市""","株洲市","湖南省",0
"""湘潭市""","湘潭市","湖南省",0
"""衡阳市""","衡阳市","湖南省",0
"""邵阳市""","邵阳市","湖南省",0
"""岳阳市""","岳阳市","湖南省",0
"""常德市""","常德市","湖南省",0
"""张家界市""","张家界市","湖南省",0
"""益阳市""","益阳市","湖南省",0
"""郴州市""","郴州市","湖南省",0
"""永州市""","永州市","湖南省",0
"""怀化市""","怀化市","湖南省",0
"""娄底市""","娄底市","湖南省",0
"""湘西土家族苗族自治州""","湘西土家族苗族自治州","湖南省",0
"""广州市""","广州市","广东省",0
"""韶关市""","韶关市","广东省",0
"""深圳市""","深圳市","广东省",0
"""珠海市""","珠海市","广东省",0
"""汕头市""","汕头市","广东省",0
"""佛山市""","佛山市","广东省",0
"""江门市""","江门市","广东省",0
"""湛江市""","湛江市","广东省",0
"""茂名市""","茂名市","广东省",0
"""肇庆市""","肇庆市","广东省",0
"""惠州市""","惠州市","广东省",0
"""梅州市""","梅州市","广东省",0
"""汕尾市""","汕尾市","广东省",0
"""河源市""","河源市","广东省",0
"""阳江市""","阳江市","广东省",0
"""清远市""","清远市","广东省",0
"""东莞市""","东莞市","广东省",0
"""中山市""","中山市","广东省",0
"""潮州市""","潮州市","广东省",0
"""揭阳市""","揭阳市","广东省",0
"""云浮市""","云浮市","广东省",0
"""南宁市""","南宁市","广西壮族自治区",0
"""柳州市""","柳州市","广西壮族自治区",0
"""桂林市""","桂林市","广西壮族自治区",0
"""梧州市""","梧州市","广西壮族自治区",0
"""北海市""","北海市","广西壮族自治区",0
"""防城港市""","防城港市","广西壮族自治区",0
"""钦州市""","钦州市","广西壮族自治区",0
"""贵港市""","贵港市","广西壮族自治区",0
"""玉林市""","玉林市","广西壮族自治区",0
"""百色市""","百色市","广西壮族自治区",0
"""贺州市""","贺州市","广西壮族自治区",0
"""河池市""","河池市","广西壮族自治区",0
"""来宾市""","来宾市","广西壮族自治区",0
"""崇左市""","崇左市","广西壮族自治区",0
"""海口市""","海口市","海南省",0
"""三亚市""","三亚市","海南省",0
"""三沙市""","三沙市","海南省",0
"""儋州市""","儋州市","海南省",0
"""五指山市""","五指山市","海南省",0
"""琼海市""","琼海市","海南省",0
"""文昌市""","文昌市","海南省",0
"""万宁市""","万宁市","海南省",0
"""东方市""","东方市","海南省",0
"""定安县""","定安县","海南省",0
"""屯昌县""","屯昌县","海南省",0
"""澄迈县""","澄迈县","海南省",0
"""临高县""","临高县","海南省",0
"""白沙黎族自治县""","白沙黎族自治县","海南省",0
"""昌江黎族自治县""","昌江黎族自治县","海南省",0
"""乐东黎族自治县""","乐东黎族自治县","海南省",0
"""陵水黎族自治县""","陵水黎族自治县","海南省",0
"""保亭黎族苗族自治县""","保亭黎族苗族自治县","海南省",0
"""琼中黎族苗族自治县""","琼中黎族苗族自治县","海南省",0
"""重庆城区""","重庆城区","重庆市",0
"""重庆郊县""","重庆郊县","重庆市",0
"""成都市""","成都市","四川省",0
"""自贡市""","自贡市","四川省",0
"""攀枝花市""","攀枝花市","四川省",0
"""泸州市""","泸州市","四川省",0
"""德阳市""","德阳市","四川省",0
"""绵阳市""","绵阳市","四川省",0
"""广元市""","广元市","四川省",0
