) for {0},）为{0},
A {0} exists between {1} and {2} (,{1}和{2}之间存在{0}（,
Absent,缺勤,
Accrual Journal Entry for salaries from {0} to {1},从{0}到{1}的薪金的应计手工凭证,
Add to Details,添加到详细信息,
Added to details,添加到细节,
All Jobs,所有职位,
Allocated Leaves,已分配休假天数,
Annual Salary,年薪,
Application period cannot be across two allocation records,申请期限不能跨越两个分配记录,
Application period cannot be outside leave allocation period,申请期间须在休假分配周期内,
Apply Now,现在申请,
Apprentice,学徒,
Approval Status,审批状态,
Approval Status must be 'Approved' or 'Rejected',审批状态必须是“已批准”或“已拒绝”,
As per your assigned Salary Structure you cannot apply for benefits,根据您指定的薪资结构，您无法申请福利,
Assign,分配,
Assign Salary Structure,分配薪资结构,
Assign to Employees,分配给员工,
Assigning Structures...,分配结构...,
Attendance,考勤,
Attendance From Date and Attendance To Date is mandatory,必须指定考勤起始日期和结束日期,
Attendance for employee {0} is already marked for this day,考勤员工{0}已标记为这一天,
Attendance not submitted for {0} as it is a Holiday.,由于是假期，{0}的考勤未提交。,
Bank Entries,银行条目,
Base,基础,
Beginner,初学者,
Birthday Reminder,生日提醒,
Bonus Payment Date cannot be a past date,奖金支付日期不能是过去的日期,
Calls,电话,
Cannot find active Leave Period,找不到有效的休假期间,
Casual Leave,事假,
Claimed Amount,申报金额,
Compensatory Off,补假,
Contact Number,联系电话,
Course,课程,
Create Disbursement Entry,创建支付条目,
Create Salary Slip,建立工资单,
Create Salary Slips,创建工资单,
Creating Payment Entries......,创建支付条目......,
Creating Salary Slips...,创建工资单......,
Current,当前,
Current Job Openings,当前职位空缺,
Daily Work Summary,每日工作总结,
Daily Work Summary Group,每日工作总结组,
Date is repeated,日期重复,
Debit A/C Number,借记A / C号码,
Deduction,扣除,
Document Status,文档状态,
Earning,收入,
Employee A/C Number,员工账号,
Employee Benefits,员工福利,
Employee Grade,员工职级,
Employee Referral,员工推荐,
Employee relieved on {0} must be set as 'Left',员工自{0}离职后，其状态必须设置为“已离职”,
Employee {0} already submited an apllication {1} for the payroll period {2},员工{0}已经在工资期间{2}提交了申请{1},
Employee {0} has no maximum benefit amount,员工{0}没有最大福利金额,
Employee {0} is not active or does not exist,员工{0}未激活或不存在,
Employee {0} is on Leave on {1},员工{0}暂停{1},
Employee {0} on Half day on {1},员工{0}上半天{1},
End time cannot be before start time,结束时间不能在开始时间之前,
Evaluation,评估,
Event Location,活动地点,
Event Name,培训名称,
Expense Claim for Vehicle Log {0},报销车辆登录{0},
Expense Claim {0} already exists for the Vehicle Log,报销{0}已经存在车辆日志,
Fill the form and save it,填写表格并保存,
Filter Employees By (Optional),过滤员工通过【选项】,
Fiscal Year {0} not found,会计年度{0}未找到,
Food,食品,
For Employee,员工,
From Date {0} cannot be after employee's relieving Date {1},起始日期{0}不能在员工离职日期之后{1},
From Date {0} cannot be before employee's joining Date {1},起始日期{0}不能在员工加入日期之前{1},
From date can not be less than employee's joining date,起始日期不得少于员工的加入日期,
Fuel Price,燃油价格,
Fuel Qty,燃油数量,
Full-time,全职,
